state_fips,state_name,year,population
01,Alabama,2004,4512190
01,Alabama,2005,4545049
01,Alabama,2006,4597688
01,Alabama,2007,4637904
01,Alabama,2008,4677464
01,Alabama,2009,4708708
01,Alabama,2010,4785437
01,Alabama,2011,4799069
01,Alabama,2012,4815588
01,Alabama,2013,4830081
01,Alabama,2014,4841799
01,Alabama,2015,4852347
01,Alabama,2016,4863525
01,Alabama,2017,4874486
01,Alabama,2018,4887681
01,Alabama,2019,4903185
01,Alabama,2020,5032962
01,Alabama,2021,5050058
01,Alabama,2022,5076868
01,Alabama,2023,5117850
01,Alabama,2024,5163055
01,Alabama,2025,5193088
02,Alaska,2004,661569
02,Alaska,2005,669488
02,Alaska,2006,677325
02,Alaska,2007,682297
02,Alaska,2008,688125
02,Alaska,2009,698473
02,Alaska,2010,713910
02,Alaska,2011,722128
02,Alaska,2012,730443
02,Alaska,2013,737068
02,Alaska,2014,736283
02,Alaska,2015,737498
02,Alaska,2016,741456
02,Alaska,2017,739700
02,Alaska,2018,735139
02,Alaska,2019,731545
02,Alaska,2020,732906
02,Alaska,2021,734590
02,Alaska,2022,733659
02,Alaska,2023,734654
02,Alaska,2024,736537
02,Alaska,2025,737270
04,Arizona,2004,5759425
04,Arizona,2005,5974834
04,Arizona,2006,6192100
04,Arizona,2007,6362241
04,Arizona,2008,6499377
04,Arizona,2009,6595778
04,Arizona,2010,6407172
04,Arizona,2011,6472643
04,Arizona,2012,6554978
04,Arizona,2013,6632764
04,Arizona,2014,6730413
04,Arizona,2015,6829676
04,Arizona,2016,6941072
04,Arizona,2017,7044008
04,Arizona,2018,7158024
04,Arizona,2019,7278717
04,Arizona,2020,7186647
04,Arizona,2021,7274022
04,Arizona,2022,7370065
04,Arizona,2023,7452073
04,Arizona,2024,7556424
04,Arizona,2025,7623818
05,Arkansas,2004,2746161
05,Arkansas,2005,2776221
05,Arkansas,2006,2815097
05,Arkansas,2007,2842194
05,Arkansas,2008,2867764
05,Arkansas,2009,2889450
05,Arkansas,2010,2921964
05,Arkansas,2011,2940667
05,Arkansas,2012,2952164
05,Arkansas,2013,2959400
05,Arkansas,2014,2967392
05,Arkansas,2015,2978048
05,Arkansas,2016,2989918
05,Arkansas,2017,3001345
05,Arkansas,2018,3009733
05,Arkansas,2019,3017804
05,Arkansas,2020,3014399
05,Arkansas,2021,3027127
05,Arkansas,2022,3047429
05,Arkansas,2023,3069856
05,Arkansas,2024,3096080
05,Arkansas,2025,3114791
06,California,2004,35558419
06,California,2005,35795255
06,California,2006,35979208
06,California,2007,36226122
06,California,2008,36580371
06,California,2009,36961664
06,California,2010,37319502
06,California,2011,37638369
06,California,2012,37948800
06,California,2013,38260787
06,California,2014,38596972
06,California,2015,38918045
06,California,2016,39167117
06,California,2017,39358497
06,California,2018,39461588
06,California,2019,39512223
06,California,2020,39527808
06,California,2021,39152927
06,California,2022,39125347
06,California,2023,39181667
06,California,2024,39364774
06,California,2025,39355309
08,Colorado,2004,4599681
08,Colorado,2005,4660780
08,Colorado,2006,4753044
08,Colorado,2007,4842259
08,Colorado,2008,4935213
08,Colorado,2009,5024748
08,Colorado,2010,5047349
08,Colorado,2011,5121108
08,Colorado,2012,5192647
08,Colorado,2013,5269035
08,Colorado,2014,5350101
08,Colorado,2015,5450623
08,Colorado,2016,5539215
08,Colorado,2017,5611885
08,Colorado,2018,5691287
08,Colorado,2019,5758736
08,Colorado,2020,5786873
08,Colorado,2021,5814368
08,Colorado,2022,5853355
08,Colorado,2023,5912240
08,Colorado,2024,5988502
08,Colorado,2025,6012561
09,Connecticut,2004,3474610
09,Connecticut,2005,3477416
09,Connecticut,2006,3485162
09,Connecticut,2007,3488633
09,Connecticut,2008,3502932
09,Connecticut,2009,3518288
09,Connecticut,2010,3579114
09,Connecticut,2011,3588283
09,Connecticut,2012,3594547
09,Connecticut,2013,3594841
09,Connecticut,2014,3594524
09,Connecticut,2015,3587122
09,Connecticut,2016,3578141
09,Connecticut,2017,3573297
09,Connecticut,2018,3571520
09,Connecticut,2019,3565287
09,Connecticut,2020,3579643
09,Connecticut,2021,3607765
09,Connecticut,2022,3618707
09,Connecticut,2023,3641369
09,Connecticut,2024,3674449
09,Connecticut,2025,3688496
10,Delaware,2004,826639
10,Delaware,2005,839906
10,Delaware,2006,853022
10,Delaware,2007,864896
10,Delaware,2008,876211
10,Delaware,2009,885122
10,Delaware,2010,899593
10,Delaware,2011,907381
10,Delaware,2012,915179
10,Delaware,2013,923576
10,Delaware,2014,932487
10,Delaware,2015,941252
10,Delaware,2016,948921
10,Delaware,2017,956823
10,Delaware,2018,965479
10,Delaware,2019,973764
10,Delaware,2020,991890
10,Delaware,2021,1005130
10,Delaware,2022,1020279
10,Delaware,2023,1035354
10,Delaware,2024,1050123
10,Delaware,2025,1059952
11,District of Columbia,2004,579796
11,District of Columbia,2005,582049
11,District of Columbia,2006,583978
11,District of Columbia,2007,586409
11,District of Columbia,2008,590074
11,District of Columbia,2009,599657
11,District of Columbia,2010,605226
11,District of Columbia,2011,619800
11,District of Columbia,2012,634924
11,District of Columbia,2013,650581
11,District of Columbia,2014,662328
11,District of Columbia,2015,675400
11,District of Columbia,2016,685815
11,District of Columbia,2017,694906
11,District of Columbia,2018,701547
11,District of Columbia,2019,705749
11,District of Columbia,2020,670958
11,District of Columbia,2021,669637
11,District of Columbia,2022,674501
11,District of Columbia,2023,682559
11,District of Columbia,2024,691310
11,District of Columbia,2025,693645
12,Florida,2004,17375259
12,Florida,2005,17783868
12,Florida,2006,18088505
12,Florida,2007,18277888
12,Florida,2008,18423878
12,Florida,2009,18537969
12,Florida,2010,18845537
12,Florida,2011,19053237
12,Florida,2012,19297822
12,Florida,2013,19545621
12,Florida,2014,19845911
12,Florida,2015,20209042
12,Florida,2016,20613477
12,Florida,2017,20963613
12,Florida,2018,21244317
12,Florida,2019,21477737
12,Florida,2020,21591325
12,Florida,2021,21836698
12,Florida,2022,22413989
12,Florida,2023,22929248
12,Florida,2024,23265838
12,Florida,2025,23462518
13,Georgia,2004,8913676
13,Georgia,2005,9097428
13,Georgia,2006,9330086
13,Georgia,2007,9533761
13,Georgia,2008,9697838
13,Georgia,2009,9829211
13,Georgia,2010,9711881
13,Georgia,2011,9802431
13,Georgia,2012,9901430
13,Georgia,2013,9972479
13,Georgia,2014,10067278
13,Georgia,2015,10178447
13,Georgia,2016,10301890
13,Georgia,2017,10410330
13,Georgia,2018,10511131
13,Georgia,2019,10617423
13,Georgia,2020,10732595
13,Georgia,2021,10793038
13,Georgia,2022,10929992
13,Georgia,2023,11063669
13,Georgia,2024,11204208
13,Georgia,2025,11302748
15,Hawaii,2004,1252782
15,Hawaii,2005,1266117
15,Hawaii,2006,1275599
15,Hawaii,2007,1276832
15,Hawaii,2008,1287481
15,Hawaii,2009,1295178
15,Hawaii,2010,1363963
15,Hawaii,2011,1379329
15,Hawaii,2012,1394804
15,Hawaii,2013,1408243
15,Hawaii,2014,1414538
15,Hawaii,2015,1422052
15,Hawaii,2016,1427559
15,Hawaii,2017,1424393
15,Hawaii,2018,1420593
15,Hawaii,2019,1415872
15,Hawaii,2020,1451130
15,Hawaii,2021,1446909
15,Hawaii,2022,1437812
15,Hawaii,2023,1434950
15,Hawaii,2024,1434952
15,Hawaii,2025,1432820
16,Idaho,2004,1391718
16,Idaho,2005,1425862
16,Idaho,2006,1464413
16,Idaho,2007,1499245
16,Idaho,2008,1527506
16,Idaho,2009,1545801
16,Idaho,2010,1570746
16,Idaho,2011,1583910
16,Idaho,2012,1595324
16,Idaho,2013,1611206
16,Idaho,2014,1631112
16,Idaho,2015,1651059
16,Idaho,2016,1682380
16,Idaho,2017,1717715
16,Idaho,2018,1750536
16,Idaho,2019,1787065
16,Idaho,2020,1849328
16,Idaho,2021,1904855
16,Idaho,2022,1942951
16,Idaho,2023,1970497
16,Idaho,2024,2000872
16,Idaho,2025,2029733
17,Illinois,2004,12645295
17,Illinois,2005,12674452
17,Illinois,2006,12718011
17,Illinois,2007,12779417
17,Illinois,2008,12842954
17,Illinois,2009,12910409
17,Illinois,2010,12840503
17,Illinois,2011,12867454
17,Illinois,2012,12882510
17,Illinois,2013,12895129
17,Illinois,2014,12884493
17,Illinois,2015,12858913
17,Illinois,2016,12820527
17,Illinois,2017,12778828
17,Illinois,2018,12723071
17,Illinois,2019,12671821
17,Illinois,2020,12795348
17,Illinois,2021,12703354
17,Illinois,2022,12609577
17,Illinois,2023,12633389
17,Illinois,2024,12703033
17,Illinois,2025,12719141
18,Indiana,2004,6214454
18,Indiana,2005,6253120
18,Indiana,2006,6301700
18,Indiana,2007,6346113
18,Indiana,2008,6388309
18,Indiana,2009,6423113
18,Indiana,2010,6490432
18,Indiana,2011,6516528
18,Indiana,2012,6537703
18,Indiana,2013,6568713
18,Indiana,2014,6593644
18,Indiana,2015,6608422
18,Indiana,2016,6634304
18,Indiana,2017,6658078
18,Indiana,2018,6695497
18,Indiana,2019,6732219
18,Indiana,2020,6790290
18,Indiana,2021,6814223
18,Indiana,2022,6841491
18,Indiana,2023,6881373
18,Indiana,2024,6934754
18,Indiana,2025,6973333
19,Iowa,2004,2941358
19,Iowa,2005,2949450
19,Iowa,2006,2964391
19,Iowa,2007,2978719
19,Iowa,2008,2993987
19,Iowa,2009,3007856
19,Iowa,2010,3050745
19,Iowa,2011,3066336
19,Iowa,2012,3076190
19,Iowa,2013,3092997
19,Iowa,2014,3109350
19,Iowa,2015,3120960
19,Iowa,2016,3131371
19,Iowa,2017,3141550
19,Iowa,2018,3148618
19,Iowa,2019,3155070
19,Iowa,2020,3191081
19,Iowa,2021,3199037
19,Iowa,2022,3201890
19,Iowa,2023,3214739
19,Iowa,2024,3230454
19,Iowa,2025,3238387
20,Kansas,2004,2730765
20,Kansas,2005,2741771
20,Kansas,2006,2755700
20,Kansas,2007,2775586
20,Kansas,2008,2797375
20,Kansas,2009,2818747
20,Kansas,2010,2858190
20,Kansas,2011,2869225
20,Kansas,2012,2885257
20,Kansas,2013,2893212
20,Kansas,2014,2900475
20,Kansas,2015,2909011
20,Kansas,2016,2910844
20,Kansas,2017,2908718
20,Kansas,2018,2911359
20,Kansas,2019,2913314
20,Kansas,2020,2938274
20,Kansas,2021,2938966
20,Kansas,2022,2938034
20,Kansas,2023,2949749
